Порядковый номер,Район,Адрес,Количество видеокамер
1.95,Адмиралтейский район,"Большой Казачий переулок, дом 1/61",5
1.96,Адмиралтейский район,"Большой Казачий переулок, дом 3",1
1.97,Адмиралтейский район,"Большой Казачий переулок, дом 6",4
1.98,Адмиралтейский район,"Большой Казачий переулок, дом 7",1
1.99,Адмиралтейский район,"Большой Казачий переулок, дом 9",6
1.100,Адмиралтейский район,"Большой Казачий переулок, дом 9, литера Г",2
1.101,Адмиралтейский район,"Бородинская улица, дом 1/88",2
1.102,Адмиралтейский район,"Бородинская улица, дом 11",1
1.103,Адмиралтейский район,"Бородинская улица, дом 15",4
1.104,Адмиралтейский район,"Бронницкая улица, дом 15",3
1.105,Адмиралтейский район,"Бронницкая улица, дом 16",5
1.106,Адмиралтейский район,"Бронницкая улица, дом 2/70",15
1.107,Адмиралтейский район,"Бронницкая улица, дом 22",3
1.108,Адмиралтейский район,"Бронницкая улица, дом 26",6
1.109,Адмиралтейский район,"Бронницкая улица, дом 27",8
1.110,Адмиралтейский район,"Бронницкая улица, дом 37",6
1.111,Адмиралтейский район,"Бумажная улица, дом 10",5
1.112,Адмиралтейский район,"Бумажного канала набережная, дом 18,",1
1.113,Адмиралтейский район,"Верейская улица, дом 20",13
1.114,Адмиралтейский район,"Верейская улица, дом 22-24",3
1.115,Адмиралтейский район,"Верейская улица, дом 23",3
1.116,Адмиралтейский район,"Верейская улица, дом 35",3
1.117,Адмиралтейский район,"Верейская улица, дом 47",4
1.118,Адмиралтейский район,"Витебская улица, дом 14",4
1.119,Адмиралтейский район,"Витебская улица, дом 2/7",2
1.120,Адмиралтейский район,"Витебская улица, дом 25",1
1.121,Адмиралтейский район,"Витебская улица, дом 5/6",9
1.122,Адмиралтейский район,"Витебская улица, дом 7",4
1.123,Адмиралтейский район,"Вознесенский проспект, дом 1",1
1.124,Адмиралтейский район,"Вознесенский проспект, дом 2",1
1.125,Адмиралтейский район,"Вознесенский проспект, дом 25",4
1.126,Адмиралтейский район,"Вознесенский проспект, дом 28",5
1.127,Адмиралтейский район,"Вознесенский проспект, дом 29",2
1.128,Адмиралтейский район,"Вознесенский проспект, дом 33",5
1.129,Адмиралтейский район,"Вознесенский проспект, дом 34, литера Б",8
1.130,Адмиралтейский район,"Вознесенский проспект, дом 3-5",4
1.131,Адмиралтейский район,"Вознесенский проспект, дом 37/6",3
1.132,Адмиралтейский район,"Вознесенский проспект, дом 38/4",2
1.133,Адмиралтейский район,"Вознесенский проспект, дом 45",3
1.134,Адмиралтейский район,"Вознесенский проспект, дом 51",5
1.135,Адмиралтейский район,"Галерная улица, дом 11",2
1.136,Адмиралтейский район,"Галерная улица, дом 16",1
1.137,Адмиралтейский район,"Галерная улица, дом 18",4
1.138,Адмиралтейский район,"Галерная улица, дом 19",2
1.139,Адмиралтейский район,"Галерная улица, дом 23",5
1.140,Адмиралтейский район,"Галерная улица, дом 26",8
1.141,Адмиралтейский район,"Галерная улица, дом 28",1
1.142,Адмиралтейский район,"Галерная улица, дом 36-38",3
1.143,Адмиралтейский район,"Галерная улица, дом 55",2
1.144,Адмиралтейский район,"Галерная улица, дом 56",2
1.145,Адмиралтейский район,"Галерная улица, дом 57, литера Б",1
1.146,Адмиралтейский район,"Галерная улица, дом 77",2
1.147,Адмиралтейский район,"Глинки улица, дом 1",9
1.148,Адмиралтейский район,"Глинки улица, дом 3-5-7",4
1.149,Адмиралтейский район,"Гороховая улица, дом 1",3
1.150,Адмиралтейский район,"Гороховая улица, дом 14/26",3
1.151,Адмиралтейский район,"Гороховая улица, дом 17/56",6
1.152,Адмиралтейский район,"Гороховая улица, дом 23",6
1.153,Адмиралтейский район,"Гороховая улица, дом 25",1
1.154,Адмиралтейский район,"Гороховая улица, дом 27",1
1.155,Адмиралтейский район,"Гороховая улица, дом 3",2
