Порядковый номер,Район,Адрес,Количество видеокамер
3.35,Выборгский район,"Асафьева улица, дом 8, литера Б",2
3.36,Выборгский район,"Асафьева улица, дом 9, корпус 1",5
3.37,Выборгский район,"Асафьева улица, дом 9, корпус 2",1
3.38,Выборгский район,"Беловодский переулок, дом 2",3
3.39,Выборгский район,"Белоостровская улица, дом 3",5
3.40,Выборгский район,"Болотная улица, дом 3",16
3.41,Выборгский район,"Большой Сампсониевский проспект, дом 108",6
3.42,Выборгский район,"Большой Сампсониевский проспект, дом 108,",2
3.43,Выборгский район,"Большой Сампсониевский проспект, дом 17",5
3.44,Выборгский район,"Большой Сампсониевский проспект, дом 18",2
3.45,Выборгский район,"Большой Сампсониевский проспект, дом 21",6
3.46,Выборгский район,"Большой Сампсониевский проспект, дом 39",2
3.47,Выборгский район,"Большой Сампсониевский проспект, дом 51",23
3.48,Выборгский район,"Большой Сампсониевский проспект, дом 51, литера Б",5
3.49,Выборгский район,"Большой Сампсониевский проспект, дом 62",1
3.50,Выборгский район,"Большой Сампсониевский проспект, дом 7",3
3.51,Выборгский район,"Большой Сампсониевский проспект, дом 70",1
3.52,Выборгский район,"Большой Сампсониевский проспект, дом 72, литера Б",3
3.53,Выборгский район,"Большой Сампсониевский проспект, дом 74",3
3.54,Выборгский район,"Большой Сампсониевский проспект, дом 76",5
3.55,Выборгский район,"Большой Сампсониевский проспект, дом 79",8
3.56,Выборгский район,"Большой Сампсониевский проспект, дом 80",4
3.57,Выборгский район,"Большой Сампсониевский проспект, дом 81",2
3.58,Выборгский район,"Большой Сампсониевский проспект, дом 85, корпус 1",4
3.59,Выборгский район,"Большой Сампсониевский проспект, дом 86а, литера Л",4
3.60,Выборгский район,"Большой Сампсониевский проспект, дом 92",7
3.61,Выборгский район,"Большой Сампсониевский проспект, дом 96",7
3.62,Выборгский район,"Большой Сампсониевский проспект, дом 98",5
3.63,Выборгский район,"Выборгская набережная, дом 18,",1
3.64,Выборгский район,"Выборгская набережная, дом 25, литера В,",1
3.65,Выборгский район,"Выборгская набережная, дом 29,",1
3.66,Выборгский район,"Выборгская набережная, дом 29, сооружение 1",3
3.67,Выборгский район,"Выборгская набережная, дом 29, сооружение 1,",1
3.68,Выборгский район,"Выборгская набережная, дом 43",1
3.69,Выборгский район,"Выборгская набережная, дом 57, корпус 1,",1
3.70,Выборгский район,"Выборгская набережная, дом 57, корпус 2,",1
3.71,Выборгский район,"Выборгская набережная, дом 59, корпус 1",1
3.72,Выборгский район,"Выборгское шоссе, дом 13",1
3.73,Выборгский район,"Выборгское шоссе, дом 15",2
3.74,Выборгский район,"Выборгское шоссе, дом 17, корпус 1",2
3.75,Выборгский район,"Выборгское шоссе, дом 17, корпус 3",1
3.76,Выборгский район,"Выборгское шоссе, дом 23, корпус 2",17
3.77,Выборгский район,"Выборгское шоссе, дом 23, корпус 3",5
3.78,Выборгский район,"Выборгское шоссе, дом 25",22
3.79,Выборгский район,"Выборгское шоссе, дом 3, корпус 1",1
3.80,Выборгский район,"Выборгское шоссе, дом 31",29
3.81,Выборгский район,"Выборгское шоссе, дом 7, корпус 1",8
3.82,Выборгский район,"Выборгское шоссе, дом 9",4
3.83,Выборгский район,"Гаврская улица, дом 1, литера Л",2
3.84,Выборгский район,"Гаврская улица, дом 8",2
3.85,Выборгский район,"Гаврская улица, дом 9",2
3.86,Выборгский район,"Гданьская улица, дом 10",3
3.87,Выборгский район,"Гданьская улица, дом 10, литера Б",5
3.88,Выборгский район,"Гданьская улица, дом 11",6
3.89,Выборгский район,"Гданьская улица, дом 12",9
3.90,Выборгский район,"Гданьская улица, дом 13",2
3.91,Выборгский район,"Гданьская улица, дом 15",5
3.92,Выборгский район,"Гданьская улица, дом 16",1
3.93,Выборгский район,"Гданьская улица, дом 16, корпус 2",8
3.94,Выборгский район,"Гданьская улица, дом 19",7
3.95,Выборгский район,"Гданьская улица, дом 21, литера К",3
3.96,Выборгский район,"Гданьская улица, дом 22",6
3.97,Выборгский район,"Гданьская улица, дом 23",3
3.98,Выборгский район,"Гданьская улица, дом 5, корпус 1",4
3.99,Выборгский район,"Гданьская улица, дом 6",6
3.100,Выборгский район,"Гданьская улица, дом 7",5
3.101,Выборгский район,"Гданьская улица, дом 8",7
3.102,Выборгский район,"Гданьская улица, дом 9",7
3.103,Выборгский район,Гренадерский мост,8
3.104,Выборгский район,"Грибалевой улица, дом 10",3
3.105,Выборгский район,"Грибалевой улица, дом 12",3
3.106,Выборгский район,"Грибалевой улица, дом 14",2
3.107,Выборгский район,"Грибалевой улица, дом 6, литера Б",3
3.108,Выборгский район,"Грибалевой улица, дом 8, литера Б",3
3.109,Выборгский район,"Диагональная улица, дом 10, литера Д",3
3.110,Выборгский район,"Диагональная улица, дом 4, корпус 2, литера Б",4
3.111,Выборгский район,"Диагональная улица, дом 8, литера Е",4
3.112,Выборгский район,"Дрезденская улица, дом 10, корпус 2",6
3.113,Выборгский район,"Дрезденская улица, дом 11, корпус 2",4
3.114,Выборгский район,"Дрезденская улица, дом 12",5
3.115,Выборгский район,"Дрезденская улица, дом 14",4
3.116,Выборгский район,"Дрезденская улица, дом 16",3
3.117,Выборгский район,"Дрезденская улица, дом 19",1
3.118,Выборгский район,"Дрезденская улица, дом 20",2
3.119,Выборгский район,"Дрезденская улица, дом 24",3
3.120,Выборгский район,"Дрезденская улица, дом 24, литера Я",1
3.121,Выборгский район,"Дрезденская улица, дом 28",8
3.122,Выборгский район,"Дрезденская улица, дом 3",2
3.123,Выборгский район,"Евпаторийский переулок, дом 10, литера В,",1
3.124,Выборгский район,"Есенина улица, дом 11, корпус 1, литера Я",7
3.125,Выборгский район,"Есенина улица, дом 11, корпус 2, литера Б",1
3.126,Выборгский район,"Есенина улица, дом 12, корпус 2",18
3.127,Выборгский район,"Есенина улица, дом 14, корпус 1",4
3.128,Выборгский район,"Есенина улица, дом 15, корпус 1",9
3.129,Выборгский район,"Есенина улица, дом 18, корпус 2",1
3.130,Выборгский район,"Есенина улица, дом 18, корпус 3",10
3.131,Выборгский район,"Есенина улица, дом 20, корпус 2",3
3.132,Выборгский район,"Есенина улица, дом 24",4
3.133,Выборгский район,"Есенина улица, дом 26, корпус 1",21
3.134,Выборгский район,"Есенина улица, дом 26, корпус 2",2
3.135,Выборгский район,"Есенина улица, дом 28, корпус 1",9
3.136,Выборгский район,"Есенина улица, дом 28, корпус 2",3
3.137,Выборгский район,"Есенина улица, дом 32, корпус 1",10
3.138,Выборгский район,"Есенина улица, дом 34, корпус 1",3
3.139,Выборгский район,"Есенина улица, дом 36, корпус 1",17
3.140,Выборгский район,"Есенина улица, дом 36, корпус 2",11
3.141,Выборгский район,"Есенина улица, дом 38, корпус 1",1
3.142,Выборгский район,"Есенина улица, дом 38, корпус 2",1
3.143,Выборгский район,"Есенина улица, дом 40, корпус 1",12
3.144,Выборгский район,"Есенина улица, дом 8, корпус 1",4
3.145,Выборгский район,"Есенина улица, дом 8, корпус 2",8
3.146,Выборгский район,"Жака Дюкло улица, дом 10",3
3.147,Выборгский район,"Жака Дюкло улица, дом 4",2
3.148,Выборгский район,"Жака Дюкло улица, дом 6, корпус 1",10
3.149,Выборгский район,"Жака Дюкло улица, дом 6, корпус 2",5
3.150,Выборгский район,"Жака Дюкло улица, дом 8, корпус 1, литера В",5
3.151,Выборгский район,"Жени Егоровой улица, дом 1/29",1
3.152,Выборгский район,"Жени Егоровой улица, дом 10",2
3.153,Выборгский район,"Жени Егоровой улица, дом 10, корпус 1",7
3.154,Выборгский район,"Жени Егоровой улица, дом 12, корпус 1",9
3.155,Выборгский район,"Жени Егоровой улица, дом 12, корпус 2",5
3.156,Выборгский район,"Жени Егоровой улица, дом 3, корпус 1",1
3.157,Выборгский район,"Жени Егоровой улица, дом 3, корпус 2",14
3.158,Выборгский район,"Жени Егоровой улица, дом 4, корпус 2",9
3.159,Выборгский район,"Жени Егоровой улица, дом 5, корпус 1",22
3.160,Выборгский район,"Жени Егоровой улица, дом 5, корпус 2",6
3.161,Выборгский район,"Ивана Фомина улица, дом 13, корпус 1",19
3.162,Выборгский район,"Ивана Фомина улица, дом 14, корпус 2",7
3.163,Выборгский район,"Ивана Фомина улица, дом 15/5",6
3.164,Выборгский район,"Ивана Фомина улица, дом 3",2
3.165,Выборгский район,"Ивана Фомина улица, дом 5, корпус 1",3
3.166,Выборгский район,"Ивана Фомина улица, дом 7, корпус 1",14
3.167,Выборгский район,"Ивана Фомина улица, дом 9",6
3.168,Выборгский район,"Институтский проспект, дом 19",3
3.169,Выборгский район,"Институтский проспект, дом 19,",3
3.170,Выборгский район,"Институтский проспект, дом 21, литера Б,",2
3.171,Выборгский район,"Институтский проспект, дом 22,",1
3.172,Выборгский район,"Институтский проспект, дом 25",2
3.173,Выборгский район,"Институтский проспект, дом 3, корпус 3",3
3.174,Выборгский район,"Институтский проспект, дом 9",4
3.175,Выборгский район,"Кантемировская улица, дом 11, литера П",3
3.176,Выборгский район,"Кантемировская улица, дом 12",1
3.177,Выборгский район,"Кантемировская улица, дом 16/71",2
3.178,Выборгский район,"Кантемировская улица, дом 27",2
3.179,Выборгский район,"Кантемировская улица, дом 27, литера М",2
3.180,Выборгский район,"Кантемировская улица, дом 31",3
3.181,Выборгский район,"Кантемировская улица, дом 31, литера Е",2
3.182,Выборгский район,"Кантемировская улица, дом 33",4
3.183,Выборгский район,"Кантемировская улица, дом 35",7
3.184,Выборгский район,"Кантемировская улица, дом 39,",1
3.185,Выборгский район,"Кантемировская улица, дом 5",1
3.186,Выборгский район,Кантемировский мост,6
3.187,Выборгский район,"Капитана Воронина улица, дом 10, литера Г",3
3.188,Выборгский район,"Капитана Воронина улица, дом 6",3
3.189,Выборгский район,"Капитана Воронина улица, дом 8",5
3.190,Выборгский район,"Карбышева улица, дом 10",9
3.191,Выборгский район,"Карбышева улица, дом 4, корпус 1, литера Т",4
3.192,Выборгский район,"Карбышева улица, дом 4, корпус 2, литера У",5
3.193,Выборгский район,"Карбышева улица, дом 6, корпус 1, литера Р",3
3.194,Выборгский район,"Карбышева улица, дом 8, литера П",4
3.195,Выборгский район,"Комиссара Смирнова улица, дом 10",2
3.196,Выборгский район,"Комиссара Смирнова улица, дом 17",3
3.197,Выборгский район,"Композиторов улица, дом 1, корпус 1",17
3.198,Выборгский район,"Композиторов улица, дом 11, корпус 1",2
3.199,Выборгский район,"Композиторов улица, дом 13, корпус 1",1
3.200,Выборгский район,"Композиторов улица, дом 15",7
3.201,Выборгский район,"Композиторов улица, дом 17, корпус 1",2
3.202,Выборгский район,"Композиторов улица, дом 20, корпус 1",21
3.203,Выборгский район,"Композиторов улица, дом 22, корпус 3",12
3.204,Выборгский район,"Композиторов улица, дом 24, корпус 1",3
3.205,Выборгский район,"Композиторов улица, дом 24, корпус 2",7
3.206,Выборгский район,"Композиторов улица, дом 24, корпус 3",1
3.207,Выборгский район,"Композиторов улица, дом 26",3
3.208,Выборгский район,"Композиторов улица, дом 26/3",22
3.209,Выборгский район,"Композиторов улица, дом 29, корпус 1",3
3.210,Выборгский район,"Композиторов улица, дом 29, корпус 3",11
3.211,Выборгский район,"Композиторов улица, дом 33, корпус 3",4
3.212,Выборгский район,"Композиторов улица, дом 33/5",29
3.213,Выборгский район,"Композиторов улица, дом 7",3
3.214,Выборгский район,"Композиторов улица, дом 9",6
3.215,Выборгский район,"Костромской проспект, дом 11",17
3.216,Выборгский район,"Костромской проспект, дом 22",9
3.217,Выборгский район,"Костромской проспект, дом 30",3
3.218,Выборгский район,"Костромской проспект, дом 56, литера Е",6
3.219,Выборгский район,"Костромской проспект, дом 57",7
3.220,Выборгский район,"Костромской проспект, дом 58, литера Д",3
3.221,Выборгский район,"Костромской проспект, дом 60",6
3.222,Выборгский район,"Костромской проспект, дом 7",7
3.223,Выборгский район,"Крапивный переулок, дом 10,",1
3.224,Выборгский район,"Культуры проспект, дом 12",9
3.225,Выборгский район,"Культуры проспект, дом 12, корпус 1",11
3.226,Выборгский район,"Культуры проспект, дом 12, корпус 2",19
3.227,Выборгский район,"Культуры проспект, дом 16, корпус 1",2
3.228,Выборгский район,"Культуры проспект, дом 16, корпус 2",3
3.229,Выборгский район,"Культуры проспект, дом 20",1
3.230,Выборгский район,"Культуры проспект, дом 22, корпус 1",15
3.231,Выборгский район,"Культуры проспект, дом 22, корпус 2",3
3.232,Выборгский район,"Культуры проспект, дом 24, корпус 1",4
3.233,Выборгский район,"Культуры проспект, дом 24, корпус 2, литера И",1
3.234,Выборгский район,"Культуры проспект, дом 26, корпус 1",13
3.235,Выборгский район,"Культуры проспект, дом 26, корпус 3",6
3.236,Выборгский район,"Культуры проспект, дом 26, корпус 4",14
3.237,Выборгский район,"Культуры проспект, дом 26, корпус 5",6
3.238,Выборгский район,"Культуры проспект, дом 6, корпус 1",10
3.239,Выборгский район,"Культуры проспект, дом 6, корпус 2",7
3.240,Выборгский район,"Культуры проспект, дом 8",4
3.241,Выборгский район,"Курчатова улица, дом 10",3
3.242,Выборгский район,"Курчатова улица, дом 4",4
3.243,Выборгский район,"Курчатова улица, дом 6, корпус 6",4
3.244,Выборгский район,"Курчатова улица, дом 6, литера Б",7
3.245,Выборгский район,"Кустодиева улица, дом 10, корпус 1",5
3.246,Выборгский район,"Кустодиева улица, дом 12",15
3.247,Выборгский район,"Кустодиева улица, дом 16, корпус 1",8
3.248,Выборгский район,"Кустодиева улица, дом 2",5
3.249,Выборгский район,"Кустодиева улица, дом 20, корпус 1",10
3.250,Выборгский район,"Кустодиева улица, дом 20, корпус 2",19
3.251,Выборгский район,"Кустодиева улица, дом 24",1
3.252,Выборгский район,"Кустодиева улица, дом 4, корпус 1",5
3.253,Выборгский район,"Кустодиева улица, дом 4, корпус 2",4
3.254,Выборгский район,"Кустодиева улица, дом 4, корпус 2,",1
3.255,Выборгский район,"Лесной проспект, дом 32",24
3.256,Выборгский район,"Лесной проспект, дом 34-36, корпус 4, литера Д",3
3.257,Выборгский район,"Лесной проспект, дом 37, корпус 1",6
3.258,Выборгский район,"Лесной проспект, дом 37, корпус 2, литера В",6
3.259,Выборгский район,"Лесной проспект, дом 37, корпус 3",4
3.260,Выборгский район,"Лесной проспект, дом 37, корпус 3, литера Г",20
3.261,Выборгский район,"Лесной проспект, дом 37, корпус 4, литера Д",9
3.262,Выборгский район,"Лесной проспект, дом 37, корпус 5",9
3.263,Выборгский район,"Лесной проспект, дом 37, корпус 6, литера Ж",20
3.264,Выборгский район,"Лесной проспект, дом 39, корпус 1",6
3.265,Выборгский район,"Лесной проспект, дом 39, корпус 3",5
3.266,Выборгский район,"Лесной проспект, дом 59, корпус 1",9
3.267,Выборгский район,"Лесной проспект, дом 59, корпус 2",8
3.268,Выборгский район,"Лесной проспект, дом 59, корпус 3, литера В",7
3.269,Выборгский район,"Лесной проспект, дом 59, корпус 4, литера Г",6
3.270,Выборгский район,"Лесной проспект, дом 59, корпус 5-6, литера Е",13
3.271,Выборгский район,"Лесной проспект, дом 60",2
3.272,Выборгский район,"Лесной проспект, дом 61, корпус 1",1
3.273,Выборгский район,"Лесной проспект, дом 61, корпус 3, литера Д",9
3.274,Выборгский район,"Лесной проспект, дом 63",4
3.275,Выборгский район,"Лесной проспект, дом 67, корпус 1",1
3.276,Выборгский район,"Лесной проспект, дом 73, литера Б",4
3.277,Выборгский район,"Лесной проспект, дом 77",4
3.278,Выборгский район,"Лиственная улица, дом 20, строение 1",1
3.279,Выборгский район,Литейный мост,3
3.280,Выборгский район,"Литейный мост,",5
3.281,Выборгский район,"Ломовская улица, дом 4",2
3.282,Выборгский район,"Луначарского проспект, дом 1, корпус 1",3
3.283,Выборгский район,"Луначарского проспект, дом 1, корпус 2",19
3.284,Выборгский район,"Луначарского проспект, дом 11, корпус 1",6
3.285,Выборгский район,"Луначарского проспект, дом 17",3
3.286,Выборгский район,"Луначарского проспект, дом 19, корпус 1",10
3.287,Выборгский район,"Луначарского проспект, дом 21, корпус 2",9
3.288,Выборгский район,"Луначарского проспект, дом 21, корпус 3",2
3.289,Выборгский район,"Луначарского проспект, дом 21, корпус 4",3
3.290,Выборгский район,"Луначарского проспект, дом 27, корпус 1",7
3.291,Выборгский район,"Луначарского проспект, дом 33, корпус 1",7
3.292,Выборгский район,"Луначарского проспект, дом 33, корпус 2",7
3.293,Выборгский район,"Луначарского проспект, дом 37, корпус 2",7
3.294,Выборгский район,"Луначарского проспект, дом 38",6
3.295,Выборгский район,"Луначарского проспект, дом 38, литера Д",18
3.296,Выборгский район,"Луначарского проспект, дом 39, корпус 2",4
3.297,Выборгский район,"Луначарского проспект, дом 42, корпус 1",3
3.298,Выборгский район,"Луначарского проспект, дом 42, корпус 2",8
3.299,Выборгский район,"Луначарского проспект, дом 44",5
3.300,Выборгский район,"Луначарского проспект, дом 46",4
3.301,Выборгский район,"Луначарского проспект, дом 52, корпус 1",4
3.302,Выборгский район,"Луначарского проспект, дом 56, корпус 1",10
3.303,Выборгский район,"Луначарского проспект, дом 56, корпус 3",6
3.304,Выборгский район,"Луначарского проспект, дом 58, корпус 1",3
3.305,Выборгский район,"Луначарского проспект, дом 58, корпус 2",10
3.306,Выборгский район,"Луначарского проспект, дом 58, корпус 3",7
3.307,Выборгский район,"Луначарского проспект, дом 62, корпус 1",2
3.308,Выборгский район,"Луначарского проспект, дом 62, корпус 2",14
3.309,Выборгский район,"Луначарского проспект, дом 64",1
3.310,Выборгский район,"Луначарского проспект, дом 66, корпус 2",4
3.311,Выборгский район,"Луначарского проспект, дом 66, корпус 3",4
3.312,Выборгский район,"Луначарского проспект, дом 7, корпус 1",2
3.313,Выборгский район,"Луначарского проспект, дом 7, корпус 2",10
3.314,Выборгский район,"Луначарского проспект, дом 70, корпус 1",11
3.315,Выборгский район,"Луначарского проспект, дом 70, корпус 2",5
3.316,Выборгский район,"Луначарского проспект, дом 70, корпус 3",1
3.317,Выборгский район,"Луначарского проспект, дом 74",1
3.318,Выборгский район,"Луначарского проспект, дом 76",5
3.319,Выборгский район,"Луначарского проспект, дом 76, корпус 2",6
3.320,Выборгский район,"Луначарского проспект, дом 82, корпус 1",11
3.321,Выборгский район,"Луначарского проспект, дом 9",4
3.322,Выборгский район,"Малая Объездная улица, дом 23, корпус 1,",1
3.323,Выборгский район,"Сампсониевское муниципальный округ, Александра Матросова улица, дом 1, строение 1,",1
3.324,Выборгский район,"Сампсониевское муниципальный округ, Корпуснтемировская улица, дом 11, строение 1",2
3.325,Выборгский район,"Сосновское муниципальный округ, Энгельса проспект, дом 111, корпус 1",3
3.326,Выборгский район,"Нежинская улица, дом 4",1
3.327,Выборгский район,"Нейшлотский переулок, дом 2",17
3.328,Выборгский район,"Нейшлотский переулок, дом 7, литера С",3
3.329,Выборгский район,"Новолитовская улица, дом 11",3
3.330,Выборгский район,"Новолитовская улица, дом 13",5
3.331,Выборгский район,"Новолитовская улица, дом 4",4
3.332,Выборгский район,"Новолитовская улица, дом 5",20
3.333,Выборгский район,"Новолитовская улица, дом 9",4
3.334,Выборгский район,"Новороссийская улица, дом 10",7
3.335,Выборгский район,"Новороссийская улица, дом 12",3
3.336,Выборгский район,"Новороссийская улица, дом 14",4
3.337,Выборгский район,"Новороссийская улица, дом 16",1
3.338,Выборгский район,"Новороссийская улица, дом 36",2
3.339,Выборгский район,"Новороссийская улица, дом 4",1
3.340,Выборгский район,"Новороссийская улица, дом 46, литера Щ",7
3.341,Выборгский район,"Орбели улица, дом 14",11
3.342,Выборгский район,"Орбели улица, дом 18",5
3.343,Выборгский район,"Орбели улица, дом 19",1
3.344,Выборгский район,"Орбели улица, дом 20, литера М",1
3.345,Выборгский район,"Орбели улица, дом 23, корпус 1",3
3.346,Выборгский район,"Орбели улица, дом 23, корпус 1,",1
3.347,Выборгский район,"Орбели улица, дом 23, корпус 3,",2
3.348,Выборгский район,"Орбели улица, дом 23, корпус 4, литера Н,",1
3.349,Выборгский район,"Орбели улица, дом 23, корпус 5, литера С,",1
3.350,Выборгский район,"Орбели улица, дом 24",12
3.351,Выборгский район,"Орбели улица, дом 27, корпус 1",6
3.352,Выборгский район,"Орбели улица, дом 27, корпус 2",5
3.353,Выборгский район,"Орбели улица, дом 27, корпус 4, литера Г",4
3.354,Выборгский район,"Орбели улица, дом 27, корпус 6",5
3.355,Выборгский район,"Орбели улица, дом 31, корпус 2",3
3.356,Выборгский район,"Орбели улица, дом 8",2
3.357,Выборгский район,"Парголово посёлок, 3-й Верхний переулок, дом 25, корпус 3",19
3.358,Выборгский район,"Парголово посёлок, Валерия Гаврилина улица, дом 11, корпус 1, строение 1",1
3.359,Выборгский район,"Парголово посёлок, Валерия Гаврилина улица, дом 3, корпус 1",6
3.360,Выборгский район,"Парголово посёлок, Валерия Гаврилина улица, дом 3, корпус 2",5
3.361,Выборгский район,"Парголово посёлок, Выборгское шоссе, дом 342, литера Б",2
3.362,Выборгский район,"Парголово посёлок, Выборгское шоссе, дом 372",2
3.363,Выборгский район,"Парголово посёлок, Заводская улица, дом 20, литера Б",1
3.364,Выборгский район,"Парголово посёлок, Заречная улица, дом 25",6
3.365,Выборгский район,"Парголово посёлок, Заречная улица, дом 33, строение 1",1
3.366,Выборгский район,"Парголово посёлок, Заречная улица, дом 45, корпус 2, строение 1",1
3.367,Выборгский район,"Парголово посёлок, Корпусмендантский проспект, дом 140,",1
3.368,Выборгский район,"Парголово посёлок, Михаила Дудина улица, дом 23, корпус 1",18
3.369,Выборгский район,"Парголово посёлок, Михаила Дудина улица, дом 23, корпус 2",21
3.370,Выборгский район,"Парголово посёлок, Михаила Дудина улица, дом 25, корпус 1",28
3.371,Выборгский район,"Парголово посёлок, Михаила Дудина улица, дом 25, корпус 2",27
3.372,Выборгский район,"Парголово посёлок, Михаила Дудина улица, дом 6, корпус 1, строение 1",1
3.373,Выборгский район,"Парголово посёлок, Николая Рубцова улица, дом 12, корпус 1",1
3.374,Выборгский район,"Парголово посёлок, Николая Рубцова улица, дом 13",1
3.375,Выборгский район,"Парголово посёлок, Николая Рубцова улица, дом 3, строение 1",1
3.376,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 10, корпус 1",8
3.377,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 12, корпус 1",9
3.378,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 12, корпус 2",10
3.379,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 14, корпус 1",6
3.380,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 14, корпус 2",5
3.381,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 14, корпус 3",3
3.382,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 14, корпус 4",8
3.383,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 14, корпус 5",2
3.384,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 14, корпус 6",3
3.385,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 16, корпус 1",5
3.386,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 16, корпус 4",8
3.387,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 18, корпус 1",5
3.388,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 18, корпус 10",8
3.389,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 18, корпус 11",4
3.390,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 18, корпус 2",8
3.391,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 18, корпус 3",4
3.392,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 18, корпус 4",9
3.393,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 18, корпус 6",4
3.394,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 18, корпус 7",8
3.395,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 18, корпус 8",8
3.396,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 18, корпус 9",4
3.397,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 20, корпус 5",13
3.398,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 20, корпус 6",11
3.399,Выборгский район,"Парголово посёлок, Осиновая Роща, Приозерское шоссе, дом 22, корпус 2",6
3.400,Выборгский район,"Парголово посёлок, Осиновая Роща, Школьный переулок, дом 1",12
3.401,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 10, корпус 1",2
3.402,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 10, корпус 3",7
3.403,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 12, корпус 1",8
3.404,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 12, корпус 2",3
3.405,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 12, корпус 3",5
3.406,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 12, корпус 4",7
3.407,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 14, корпус 1",3
3.408,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 14, корпус 2",3
3.409,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 14, корпус 3",6
3.410,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 14, корпус 4",2
3.411,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 14, корпус 5",5
3.412,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 14, корпус 6",3
3.413,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 14, корпус 7",4
3.414,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 14, корпус 8",4
3.415,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 6, корпус 3",5
3.416,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 6, корпус 4",4
3.417,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 6, корпус 5",4
3.418,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 6, корпус 6",12
3.419,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 6, корпус 7",3
3.420,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 8",6
3.421,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 8, корпус 2",5
3.422,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 8, корпус 3",8
3.423,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 8, корпус 4",5
3.424,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 8, корпус 5",8
3.425,Выборгский район,"Парголово посёлок, Осиновая Роща, Юкковское шоссе, дом 8, корпус 6",2
3.426,Выборгский район,"Парголово посёлок, Первого Мая улица, дом 79, литера И",6
3.427,Выборгский район,"Парголово посёлок, Первого Мая улица, дом 81, литера Ж",4
3.428,Выборгский район,"Парголово посёлок, Первого Мая улица, дом 83, литера Г",3
3.429,Выборгский район,"Парголово посёлок, Первого Мая улица, дом 85, литера В",3
3.430,Выборгский район,"Парголово посёлок, Первого Мая улица, дом 89, литера Б",3
3.431,Выборгский район,"Парголово посёлок, Первого Мая улица, дом 91, литера Е",3
